Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,3.424300,3.456800,3.400800,3.419400,3.419400,0
2015-08-04,3.449500,3.478600,3.427000,3.448800,3.448800,0
2015-08-05,3.466700,3.494700,3.448300,3.466300,3.466300,0
2015-08-06,3.484400,3.562900,3.477200,3.483800,3.483800,0
2015-08-07,3.531000,3.563000,3.490000,3.531600,3.531600,0
2015-08-10,3.507600,3.522500,3.461000,3.531600,3.531600,0
2015-08-11,3.436000,3.510900,3.418600,3.435700,3.435700,0
2015-08-12,3.471600,3.500700,3.445800,3.471000,3.471000,0
2015-08-13,3.450600,3.523200,3.450600,3.475100,3.475100,0
2015-08-14,3.519700,3.521000,3.458500,3.519300,3.519300,0
2015-08-17,3.484300,3.501900,3.458700,3.477900,3.477900,0
2015-08-18,3.469200,3.499300,3.458800,3.476600,3.476600,0
2015-08-19,3.464600,3.504300,3.455000,3.464900,3.464900,0
2015-08-20,3.488400,3.514800,3.456600,3.488300,3.488300,0
2015-08-21,3.458400,3.498200,3.441400,3.457800,3.457800,0
2015-08-24,3.501700,3.575600,3.484800,3.498000,3.498000,0
2015-08-25,3.547400,3.553700,3.510400,3.548100,3.548100,0
2015-08-26,3.612900,3.649800,3.582800,3.611500,3.611500,0
2015-08-27,3.594100,3.594100,3.541500,3.594100,3.594100,0
2015-08-28,3.551000,3.595500,3.537700,3.550200,3.550200,0
2015-08-31,3.559500,3.677000,3.559500,3.578700,3.578700,0
2015-09-01,3.617800,3.673700,3.616600,3.619200,3.619200,0
2015-09-02,3.692500,3.750300,3.680300,3.692500,3.692500,0
2015-09-03,3.753300,3.811100,3.736700,3.753900,3.753900,0
2015-09-04,3.736300,3.809900,3.718000,3.735000,3.735000,0
2015-09-07,3.839500,3.840800,3.816900,3.839700,3.839700,0
2015-09-08,3.835300,3.836100,3.778300,3.835000,3.835000,0
2015-09-09,3.786300,3.818500,3.762800,3.815900,3.815900,0
2015-09-10,3.778300,3.904100,3.773700,3.778700,3.778700,0
2015-09-11,3.848900,3.889000,3.816900,3.848100,3.848100,0
2015-09-14,3.865000,3.886300,3.836300,3.868200,3.868200,0
2015-09-15,3.810700,3.868100,3.785500,3.810700,3.810700,0
2015-09-16,3.858100,3.861000,3.818800,3.859700,3.859700,0
2015-09-17,3.831200,3.902800,3.806800,3.828600,3.828600,0
2015-09-18,3.893200,3.919600,3.863100,3.891400,3.891400,0
2015-09-21,3.917400,3.993000,3.917400,3.939000,3.939000,0
2015-09-22,3.952700,4.056100,3.952700,3.981400,3.981400,0
2015-09-23,4.047400,4.138300,4.011500,4.047700,4.047700,0
2015-09-24,4.173800,4.241100,4.144100,4.175100,4.175100,0
2015-09-25,3.933500,4.001900,3.882300,3.933000,3.933000,0
2015-09-28,3.971300,4.036800,3.970800,3.967600,3.967600,0
2015-09-29,4.103800,4.144300,4.071400,4.103700,4.103700,0
2015-09-30,4.054900,4.060000,3.950300,4.054400,4.054400,0
2015-10-01,3.945500,3.993100,3.934800,3.945700,3.945700,0
2015-10-02,3.999300,4.037300,3.957200,3.998800,3.998800,0
2015-10-05,3.926300,3.944900,3.883700,3.927500,3.927500,0
2015-10-06,3.910900,3.937700,3.827100,3.909900,3.909900,0
2015-10-07,3.850400,3.852900,3.786900,3.849000,3.849000,0
2015-10-08,3.879400,3.903700,3.817400,3.880300,3.880300,0
2015-10-09,3.780800,3.783200,3.720100,3.781900,3.781900,0
2015-10-12,3.761500,3.763500,3.738000,3.759100,3.759100,0
2015-10-13,3.760000,3.846300,3.735900,3.760500,3.760500,0
2015-10-14,3.888800,3.890100,3.832200,3.888800,3.888800,0
2015-10-15,3.806700,3.869100,3.778100,3.807100,3.807100,0
2015-10-16,3.793300,3.856100,3.790200,3.792500,3.792500,0
2015-10-19,3.914600,3.927200,3.860600,3.920700,3.920700,0
2015-10-20,3.886300,3.888300,3.843600,3.887800,3.887800,0
2015-10-21,3.873000,3.960300,3.873000,3.902300,3.902300,0
2015-10-22,3.935800,3.958300,3.902300,3.936700,3.936700,0
2015-10-23,3.902500,3.924500,3.861600,3.902300,3.902300,0
2015-10-26,3.871300,3.893800,3.824600,3.875600,3.875600,0
2015-10-27,3.903700,3.927200,3.884200,3.903900,3.903900,0
2015-10-28,3.883900,3.904700,3.858200,3.883400,3.883400,0
2015-10-29,3.896300,3.952500,3.892500,3.897200,3.897200,0
2015-10-30,3.844100,3.884000,3.825000,3.844700,3.844700,0
2015-11-02,3.838600,3.853700,3.833100,3.851400,3.851400,0
2015-11-03,3.870600,3.870600,3.775700,3.870200,3.870200,0
2015-11-04,3.767600,3.810300,3.744400,3.767100,3.767100,0
2015-11-05,3.793500,3.812700,3.764300,3.795600,3.795600,0
2015-11-06,3.778500,3.836800,3.758700,3.780100,3.780100,0
2015-11-09,3.776500,3.800200,3.761500,3.766300,3.766300,0
2015-11-10,3.797700,3.818600,3.770600,3.799100,3.799100,0
2015-11-11,3.745000,3.760900,3.703300,3.745400,3.745400,0
2015-11-12,3.763400,3.819800,3.743000,3.762900,3.762900,0
2015-11-13,3.766800,3.822500,3.759100,3.766900,3.766900,0
2015-11-16,3.862200,3.862200,3.816900,3.840600,3.840600,0
2015-11-17,3.825100,3.826100,3.783500,3.825600,3.825600,0
2015-11-18,3.807600,3.809100,3.769600,3.808300,3.808300,0
2015-11-19,3.767700,3.768000,3.715900,3.767100,3.767100,0
2015-11-20,3.761600,3.761600,3.701700,3.761200,3.761200,0
2015-11-23,3.700200,3.734000,3.688100,3.699600,3.699600,0
2015-11-24,3.728700,3.740400,3.691300,3.728900,3.728900,0
2015-11-25,3.695600,3.801300,3.690900,3.696200,3.696200,0
2015-11-26,3.740500,3.763500,3.730900,3.739400,3.739400,0
2015-11-27,3.739600,3.765700,3.712800,3.738400,3.738400,0
2015-11-30,3.841400,3.910500,3.727400,3.841400,3.841400,0
2015-12-01,3.867100,3.898900,3.831100,3.866600,3.866600,0
2015-12-02,3.850100,3.860700,3.835400,3.850600,3.850600,0
2015-12-03,3.832200,3.832200,3.769500,3.832300,3.832300,0
2015-12-04,3.756200,3.783400,3.720500,3.755900,3.755900,0
2015-12-07,3.755000,3.771600,3.725800,3.751000,3.751000,0
2015-12-08,3.759900,3.815500,3.742300,3.759500,3.759500,0
2015-12-09,3.815200,3.816300,3.717000,3.814500,3.814500,0
2015-12-10,3.743600,3.779900,3.736200,3.742700,3.742700,0
2015-12-11,3.807700,3.884000,3.800400,3.807800,3.807800,0
2015-12-14,3.868000,3.918800,3.858800,3.812700,3.812700,0
2015-12-15,3.883500,3.889500,3.847500,3.884400,3.884400,0
2015-12-16,3.906500,3.959800,3.899300,3.905900,3.905900,0
2015-12-17,3.892700,3.912400,3.855700,3.892900,3.892900,0
2015-12-18,3.875700,3.932700,3.871800,3.876300,3.876300,0
2015-12-21,3.976700,4.035300,3.958600,3.978400,3.978400,0
2015-12-22,4.011800,4.012900,3.956300,4.011400,4.011400,0
2015-12-23,3.984200,3.992700,3.952300,3.985200,3.985200,0
2015-12-24,3.940900,3.941600,3.932900,3.941000,3.941000,0
2015-12-25,3.912800,3.912800,3.912800,3.913000,3.913000,0
2015-12-28,3.909800,3.959000,3.875100,3.908200,3.908200,0
2015-12-29,3.855400,3.865800,3.836000,3.855100,3.855100,0
2015-12-30,3.864100,3.999200,3.849800,3.864100,3.864100,0
2015-12-31,3.956600,3.960000,3.955500,3.956700,3.956700,0
2016-01-01,3.950000,3.950000,3.950000,3.950000,3.950000,0
2016-01-04,3.960500,4.059400,3.955700,3.949100,3.949100,0
2016-01-05,4.037100,4.053100,3.995700,4.037300,4.037300,0
2016-01-06,4.027100,4.050500,4.006000,4.026900,4.026900,0
2016-01-07,4.020900,4.068700,4.018400,4.019900,4.019900,0
2016-01-08,4.041700,4.043400,4.002200,4.041500,4.041500,0
2016-01-11,4.020100,4.046900,3.992400,3.993200,3.993200,0
2016-01-12,4.050300,4.051900,4.007500,4.050400,4.050400,0
2016-01-13,4.025100,4.026200,3.966800,4.025200,4.025200,0
2016-01-14,4.014400,4.036800,3.986800,4.014100,4.014100,0
2016-01-15,4.005900,4.055400,4.002600,4.005900,4.005900,0
2016-01-18,4.042900,4.048300,4.013500,4.004300,4.004300,0
2016-01-19,4.052400,4.055700,3.998100,4.052300,4.052300,0
2016-01-20,4.058400,4.109400,4.057000,4.058400,4.058400,0
2016-01-21,4.101600,4.166900,4.097400,4.101400,4.101400,0
2016-01-22,4.153800,4.154200,4.099600,4.153500,4.153500,0
2016-01-25,4.092400,4.092900,4.088000,4.089500,4.089500,0
2016-01-26,4.087200,4.117500,4.055700,4.087900,4.087900,0
2016-01-27,4.068400,4.068900,4.027000,4.066900,4.066900,0
2016-01-28,4.105900,4.118800,4.032800,4.104900,4.104900,0
2016-01-29,4.067100,4.091000,4.001400,4.067000,4.067000,0
2016-02-01,3.994200,4.016900,3.962600,3.997100,3.997100,0
2016-02-02,3.958600,4.014000,3.952400,3.959700,3.959700,0
2016-02-03,3.985400,3.988100,3.936200,3.985300,3.985300,0
2016-02-04,3.892100,3.894300,3.835000,3.892300,3.892300,0
2016-02-05,3.886500,3.921000,3.863800,3.886200,3.886200,0
2016-02-08,3.894500,3.900900,3.875900,3.898500,3.898500,0
2016-02-09,3.893500,3.897000,3.885300,3.891600,3.891600,0
2016-02-10,3.882500,3.937200,3.864800,3.881500,3.881500,0
2016-02-11,3.926700,3.976400,3.920000,3.926300,3.926300,0
2016-02-12,3.988100,3.998400,3.967100,3.987500,3.987500,0
2016-02-15,4.008400,4.008400,3.972700,3.968200,3.968200,0
2016-02-16,3.995300,4.060000,3.967900,3.995000,3.995000,0
2016-02-17,4.064500,4.067500,3.977700,4.062500,4.062500,0
2016-02-18,3.980600,4.025000,3.969800,3.980900,3.980900,0
2016-02-19,4.024100,4.061000,4.022300,4.024600,4.024600,0
2016-02-22,4.027500,4.033500,3.941600,4.016400,4.016400,0
2016-02-23,3.943600,3.974700,3.935400,3.942800,3.942800,0
2016-02-24,3.953000,4.003900,3.950200,3.953500,3.953500,0
2016-02-25,3.955100,3.955500,3.916800,3.954400,3.954400,0
2016-02-26,3.952300,3.983800,3.928000,3.951900,3.951900,0
2016-02-29,3.993200,3.994100,3.948900,3.964700,3.964700,0
2016-03-01,4.012400,4.014100,3.970500,4.012900,4.012900,0
2016-03-02,3.922500,3.936900,3.891000,3.922000,3.922000,0
2016-03-03,3.889800,3.890000,3.832200,3.889300,3.889300,0
2016-03-04,3.796500,3.797200,3.650500,3.796100,3.796100,0
2016-03-07,3.754300,3.780600,3.733800,3.768800,3.768800,0
2016-03-08,3.781900,3.797800,3.756300,3.781100,3.781100,0
2016-03-09,3.752300,3.753800,3.681700,3.752700,3.752700,0
2016-03-10,3.677600,3.704900,3.638400,3.676900,3.676900,0
2016-03-11,3.614200,3.662300,3.586800,3.614000,3.614000,0
2016-03-14,3.578600,3.635700,3.572600,3.571700,3.571700,0
2016-03-15,3.659900,3.750500,3.654600,3.655000,3.655000,0
2016-03-16,3.764000,3.847000,3.759600,3.762300,3.762300,0
2016-03-17,3.738900,3.739900,3.625600,3.736600,3.736600,0
2016-03-18,3.620300,3.666200,3.602500,3.620600,3.620600,0
2016-03-21,3.619900,3.643900,3.599300,3.621100,3.621100,0
2016-03-22,3.612500,3.647100,3.584700,3.612600,3.612600,0
2016-03-23,3.578400,3.671900,3.573700,3.577800,3.577800,0
2016-03-24,3.680300,3.715800,3.674700,3.680100,3.680100,0
2016-03-25,3.677200,3.682700,3.650800,3.677200,3.677200,0
2016-03-28,3.653900,3.653900,3.634000,3.683500,3.683500,0
2016-03-29,3.640600,3.671800,3.599100,3.677200,3.677200,0
2016-03-30,3.634200,3.642800,3.595800,3.634900,3.634900,0
2016-03-31,3.598400,3.627000,3.529700,3.596100,3.596100,0
2016-04-01,3.587100,3.617100,3.536600,3.586500,3.586500,0
2016-04-04,3.548600,3.602600,3.531500,3.548600,3.548600,0
2016-04-05,3.618000,3.669500,3.601400,3.617200,3.617200,0
2016-04-06,3.673100,3.704900,3.651400,3.673700,3.673700,0
2016-04-07,3.636100,3.704700,3.613600,3.636400,3.636400,0
2016-04-08,3.682400,3.682400,3.614700,3.682600,3.682600,0
2016-04-11,3.584100,3.587700,3.504300,3.586200,3.586200,0
2016-04-12,3.487300,3.557200,3.465200,3.488500,3.488500,0
2016-04-13,3.484400,3.555900,3.482400,3.482500,3.482500,0
2016-04-14,3.492900,3.520200,3.490700,3.493500,3.493500,0
2016-04-15,3.472100,3.540000,3.446400,3.472500,3.472500,0
2016-04-18,3.524100,3.601400,3.475400,3.531000,3.531000,0
2016-04-19,3.608300,3.612200,3.536200,3.609900,3.609900,0
2016-04-20,3.524400,3.563000,3.504200,3.525300,3.525300,0
2016-04-21,3.524500,3.536000,3.503100,3.524400,3.524400,0
2016-04-22,3.524100,3.596200,3.522400,3.524400,3.524400,0
2016-04-25,3.559900,3.565700,3.534400,3.562300,3.562300,0
2016-04-26,3.549800,3.552300,3.520800,3.550400,3.550400,0
2016-04-27,3.521400,3.539900,3.510000,3.520200,3.520200,0
2016-04-28,3.520400,3.523600,3.477400,3.521500,3.521500,0
2016-04-29,3.480100,3.492100,3.424700,3.479700,3.479700,0
