,SVM_dict_v1,SVM_dict_v2,SVM_dict_v3,SVM_dict_v4
Modelo,SVM,SVM,SVM,SVM
Versão,1,2,3,4
Kernel,Linear,RBF,Sigmoid,Polinomial
Tempo Treino (min),0.0,63.0,63.0,70.0
MSE,96608.95755952167,71475.16583159399,71475.16583159399,67655.56093747875
R2,0.3160487285482233,0.4939855290579399,0.4939855290579399,0.5210267443837964
MAE,183.71988815404305,149.17688315702412,149.17688315702412,146.50443803263022
EVS,0.3553567003441772,0.5154379690808617,0.5154379690808617,0.5377129491023931
